년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
"			2022-12",전국,-1.4,-6,3.8
"			2023-01",전국,-0.6,-5.8,5.1
"			2023-02",전국,2.5,-2.8,8.5
"			2023-03",전국,9.4,2.7,16.5
"			2023-04",전국,13.1,7.1,19.1
"			2023-05",전국,17.9,12.4,23.6
"			2023-06",전국,22.3,18,27.5
"			2023-07",전국,25.5,22.4,29.6
"			2023-08",전국,26.4,22.9,30.9
"			2023-09",전국,22.6,19,27.1
"			2023-10",전국,14.7,9.6,21.1
"			2023-11",전국,7.9,2.9,13.5
"			2023-12",전국,2.4,-2.1,7.3
"			",,,,
